date,n_points,min_value,max_value,mean_value,median_value,std_value,first_value,last_value,first_timestamp,last_timestamp,delta_close_open,pct_change_close_open,expected_points_in_observed_span,coverage_ratio_in_observed_span
2026-02-01,6412,37,5280107,3022545.5205864003,3370193.5,1783000.110514168,37,980304,2026-02-01T06:11:20-05:00,2026-02-01T23:59:50-05:00,980267,2649370.2702702703,6412,1.0
2026-02-02,6399,28,4554582,2620566.558368495,3051516.0,1476897.4013104145,979359,843143,2026-02-02T00:00:00-05:00,2026-02-02T23:59:50-05:00,-136216,-13.90868925491061,8640,0.740625
2026-02-03,6413,0,5708166,3379388.1506315297,3942590.0,1933380.802930498,842111,1031859,2026-02-03T00:00:00-05:00,2026-02-03T23:59:50-05:00,189748,22.532421497878545,8640,0.7422453703703704
2026-02-04,6451,0,5917626,3524981.772748411,4083087.0,2016760.9411233661,1030636,1136168,2026-02-04T00:00:00-05:00,2026-02-04T23:59:50-05:00,105532,10.239502598395553,8640,0.7466435185185185
2026-02-05,6413,0,6107574,3663628.4918135037,4079481.0,2070888.95444488,1134935,1397752,2026-02-05T00:00:00-05:00,2026-02-05T23:59:50-05:00,262817,23.15700899170437,8640,0.7422453703703704
2026-02-06,6429,0,6198472,3722633.1392129413,4181438.0,2099722.8796695643,1396354,1505657,2026-02-06T00:00:00-05:00,2026-02-06T23:59:50-05:00,109303,7.827742821662702,8640,0.7440972222222222
2026-02-07,6450,155,5738300,3480623.3441860466,4059191.0,1950815.9777422547,1504845,1504124,2026-02-07T00:00:00-05:00,2026-02-07T23:59:50-05:00,-721,-0.047911911193511625,8640,0.7465277777777778
2026-02-08,6093,101,4969210,2741441.1580502214,3167102.0,1615538.8959206322,1501845,1016005,2026-02-08T00:00:00-05:00,2026-02-08T23:59:50-05:00,-485840,-32.349543394957536,8640,0.7052083333333333
2026-02-09,6432,22,5122526,3067438.832245025,3547481.5,1728046.479712036,1016317,978329,2026-02-09T00:00:00-05:00,2026-02-09T23:59:50-05:00,-37988,-3.7378101517538327,8640,0.7444444444444445
2026-02-10,6436,0,5767000,3209285.9277501553,3260584.5,1915493.863675699,977300,1075282,2026-02-10T00:00:00-05:00,2026-02-10T23:59:50-05:00,97982,10.02578532692111,8640,0.7449074074074075
2026-02-11,3213,82,5710374,2462669.3787737316,2410654.0,1982930.760634685,1074886,5630566,2026-02-11T00:00:00-05:00,2026-02-11T15:00:00-05:00,4555680,423.8291316474491,5401,0.5948898352157008
